 : 33
water : 27
buddha : 23
world : 15
conservation : 13
lord : 13
countrymen : 11
indian : 9
fit : 9
farmers : 9
medal : 8
young : 8
responsibility : 8
special : 7
feel : 7
everyone : 7
today : 7
good : 7
way : 7
rabindra : 7
prophet : 7
games : 6
great : 6
peace : 6
compassion : 6
sportspersons : 5
performance : 5
time : 5
power : 5
mann : 5
baat : 5
written : 5
social : 5
yog : 5
internship : 5
opportunity : 5
children : 5
biscuits : 5
might : 5
management : 5
important : 5
purnima : 5
buddhist : 5
april : 4
commonwealth : 4
performances : 4
medals : 4
athletes : 4
full : 4
win : 4
women : 4
nation : 4
best : 4
efforts : 4
youth : 4
getting : 4
others : 4
campaign : 4
places : 4
experience : 4
something : 4
society : 4
chance : 4
thousand : 4
rich : 4
rupees : 4
part : 4
temples : 4
believed : 4
mnrega : 4
philosophy : 4
knowledge : 4
test : 4
countries : 3
atmosphere : 3
hope : 3
another : 3
shooting : 3
gold : 3
moment : 3
joy : 3
glory : 3
laurels : 3
national : 3
sense : 3
words : 3
fact : 3
whole : 3
mohammad : 3
brought : 3
congratulate : 3
schools : 3
friends : 3
shared : 3
fitness : 3
mantra : 3
comes : 3
video : 3
benefits : 3
entire : 3
significance : 3
june : 3
village : 3
exams : 3
learning : 3
summer : 3
life : 3
government : 3
students : 3
celebrate : 3
programme : 3
delhi : 3
started : 3
mission : 3
collective : 3
changed : 3
land : 3
district : 3
single : 3
drop : 3
stone : 3
baodis : 3
point : 3
budget : 3
crores : 3
reviving : 3
dried : 3
nath : 3
radio : 3
sangeet : 3
ramazan : 3
throughout : 3
person : 3
remember : 3
teachings : 3
follow : 3
needy : 3
wish : 3
baba : 3
saheb : 3
atal : 3
conducted : 3
st : 2
participated : 2
event : 2
scale : 2
saw : 2
enthusiasm : 2
tally : 2
lived : 2
stellar : 2
winning : 2
table : 2
tennis : 2
badminton : 2
record : 2
pride : 2
sportsperson : 2
match : 2
fulfillment : 2
run : 2
heard : 2
proud : 2
par : 2
excellence : 2
aware : 2
became : 2
youngest : 2
wishes : 2
various : 2
parts : 2
support : 2
teachers : 2
journey : 2
contributed : 2
connected : 2
letters : 2
stories : 2
sharing : 2
swimming : 2
happy : 2
morning : 2
smile : 2
trekking : 2
ways : 2
kumar : 2
gone : 2
hand : 2
experiences : 2
movement : 2
busy : 2
college : 2
connect : 2
depicting : 2
field : 2
teacher : 2
benefit : 2
wondering : 2
spending : 2
travel : 2
talk : 2
invite : 2
seen : 2
department : 2
together : 2
swachch : 2
bharat : 2
reason : 2
energy : 2
cleanliness : 2
anniversary : 2
interns : 2
work : 2
forward : 2
watch : 2
news : 2
whenever : 2
selflessly : 2
manner : 2
help : 2
poor : 2
group : 2
youngsters : 2
associated : 2
hilly : 2
uttarakhand : 2
inspiration : 2
