 : 24
gandhi : 20
service : 16
world : 15
life : 13
way : 13
countrymen : 12
mahatma : 12
today : 10
sense : 9
time : 9
tiger : 9
society : 8
great : 8
plastic : 8
food : 8
movement : 8
human : 7
visit : 7
fit : 7
bearing : 6
mohan : 6
nd : 6
october : 6
spirit : 6
places : 6
interesting : 6
campaign : 6
september : 6
environment : 6
episode : 6
krishna : 5
birth : 5
inspiration : 5
freedom : 5
certain : 5
served : 5
associated : 5
gandhiji : 5
art : 5
bose : 5
malnutrition : 5
family : 5
nature : 5
tigers : 5
social : 4
celebrated : 4
festival : 4
present : 4
gujarat : 4
anniversary : 4
course : 4
wherever : 4
inner : 4
special : 4
community : 4
hands : 4
women : 4
crore : 4
haripura : 4
nandlal : 4
glorious : 4
children : 4
august : 4
celebrate : 4
subhashit : 4
grain : 4
poshan : 4
abhiyaan : 4
initiative : 4
man : 4
thought : 4
young : 4
forest : 4
swami : 4
vivekananda : 4
enjoying : 3
perhaps : 3
personality : 3
renewed : 3
energy : 3
everyone : 3
might : 3
forget : 3
whatever : 3
sudarshan : 3
chakra : 3
left : 3
beach : 3
duty : 3
sake : 3
knowledge : 3
discourse : 3
poor : 3
happiness : 3
bapu : 3
ashram : 3
opportunity : 3
karyanjali : 3
strata : 3
strength : 3
entire : 3
move : 3
together : 3
ladies : 3
club : 3
taken : 3
members : 3
point : 3
dedicated : 3
place : 3
feel : 3
something : 3
venice : 3
remember : 3
session : 3
artwork : 3
constitution : 3
resolve : 3
cleanliness : 3
period : 3
home : 3
ensuring : 3
manner : 3
carry : 3
fact : 3
look : 3
gems : 3
touch : 3
solid : 3
wild : 3
discovery : 3
channel : 3
whenever : 3
yoga : 3
talk : 3
hindi : 3
bear : 3
grylls : 3
secret : 3
population : 3
gir : 3
forests : 3
proceed : 3
going : 3
namaskar : 2
festivals : 2
diwali : 2
cycle : 2
circumstances : 2
lord : 2
throughout : 2
greatness : 2
thousands : 2
comes : 2
noble : 2
yet : 2
relevant : 2
solutions : 2
problems : 2
find : 2
shri : 2
despite : 2
sports : 2
often : 2
diverse : 2
accomplishments : 2
virtue : 2
possess : 2
running : 2
attention : 2
banks : 2
yamuna : 2
sea : 2
city : 2
born : 2
delhi : 2
wisdom : 2
path : 2
values : 2
struggle : 2
whole : 2
importance : 2
learn : 2
message : 2
known : 2
teacher : 2
discuss : 2
mega : 2
part : 2
porbandar : 2
person : 2
history : 2
trail : 2
africa : 2
means : 2
small : 2
champaran : 2
prime : 2
leprosy : 2
examples : 2
medium : 2
set : 2
others : 2
words : 2
deeds : 2
shared : 2
bond : 2
truth : 2
unique : 2
whoever : 2
needed : 2
serve : 2
emphasized : 2
performed : 2
joy : 2
swantah : 2
