 : 17
friends : 10
indian : 9
amma : 9
women : 8
kamya : 8
bhagirathi : 8
countrymen : 7
hunar : 7
haat : 7
today : 7
young : 7
divyang : 6
life : 6
species : 6
mission : 6
age : 6
salman : 6
village : 6
opportunity : 5
art : 5
time : 5
part : 5
great : 5
recently : 5
entire : 5
isro : 5
purnia : 5
ajrak : 5
diversity : 4
pride : 4
inspiration : 4
place : 4
witnessed : 4
matter : 4
earlier : 4
visit : 4
caves : 4
science : 4
technology : 4
space : 4
students : 4
yuvika : 4
jai : 4
wish : 4
started : 4
courage : 4
adventure : 4
story : 4
print : 4
kutch : 3
fact : 3
expanse : 3
experience : 3
varied : 3
traditional : 3
products : 3
artisans : 3
crafts : 3
persons : 3
employment : 3
especially : 3
throughout : 3
cop : 3
convention : 3
efforts : 3
meghalaya : 3
fish : 3
lives : 3
large : 3
biodiversity : 3
children : 3
way : 3
website : 3
wants : 3
school : 3
exams : 3
highest : 3
cocoons : 3
silk : 3
getting : 3
saris : 3
nation : 3
lost : 3
continue : 3
help : 3
decided : 3
slippers : 3
manufacture : 3
festival : 3
celebrated : 3
fills : 2
sense : 2
heart : 2
joy : 2
traditions : 2
handicrafts : 2
carpets : 2
brass : 2
pradesh : 2
beautiful : 2
paintings : 2
work : 2
stories : 2
culture : 2
unique : 2
love : 2
source : 2
changed : 2
connected : 2
opportunities : 2
lending : 2
bihar : 2
fairs : 2
thus : 2
progress : 2
hardworking : 2
ethos : 2
birds : 2
world : 2
home : 2
migratory : 2
fly : 2
important : 2
piece : 2
information : 2
found : 2
deep : 2
scientists : 2
youth : 2
taking : 2
interest : 2
enthusiasm : 2
kept : 2
another : 2
rocket : 2
launching : 2
enough : 2
possible : 2
schools : 2
exciting : 2
paras : 2
programme : 2
program : 2
different : 2
training : 2
name : 2
aircraft : 2
leh : 2
airport : 2
biojet : 2
fuel : 2
oil : 2
reduce : 2
develop : 2
society : 2
together : 2
difficult : 2
circumstances : 2
mulberry : 2
nominal : 2
yarn : 2
didis : 2
villages : 2
achieving : 2
daughters : 2
heights : 2
share : 2
achievement : 2
twelveyearold : 2
daughter : 2
conquered : 2
peak : 2
mountains : 2
south : 2
high : 2
thing : 2
saahas : 2
everyone : 2
stay : 2
fit : 2
always : 2
sports : 2
hand : 2
top : 2
success : 2
mother : 2
spirit : 2
scored : 2
salute : 2
determination : 2
resolved : 2
joined : 2
walk : 2
turned : 2
villagers : 2
form : 2
major : 2
lord : 2
shiva : 2
mahashivaratri : 2
spring : 2
holi : 2
social : 2
busy : 2
examinations : 2
mann : 2
baat : 2
carefree : 2
fortunate : 1
greet : 1
citizens : 1
kohima : 1
kashmir : 1
kanyakumari : 1
length : 1
breadth : 1
namaskar : 1
reflecting : 1
land : 1
revering : 1
touches : 1
filling : 1
flower : 1
radiates : 1
small : 1
delhi : 1
hues : 1
diverse : 1
cultures : 1
cuisines : 1
warmth : 1
emotions : 1
repertoire : 1
comprising : 1
attires : 1
utensils : 1
bamboo : 1
phulkari : 1
punjab : 1
exotic : 1
leatherwork : 1
andhra : 1
tamilnadu : 1
uttar : 1
bhadohi : 1
copper : 1
musical : 1
instruments : 1
innumerable : 1
vivid : 1
mosaic : 1
pan : 1
truly : 1
perseverance : 1
zeal : 1
skill : 1
equally : 1
inspiring : 1
listening : 1
woman : 1
fulfillment : 1
sell : 1
pavement : 1
self : 1
reliant : 1
purchased : 1
house : 1
converse : 1
participating : 1
close : 1
lakh : 1
gained : 1
course : 1
platform : 1
showcasing : 1
craft : 1
wings : 1
dreams : 1
venue : 1
impossible : 1
overlook : 1
displays : 1
cuisine : 1
single : 1
row : 1
savour : 1
sight : 1
idli : 1
dosa : 1
chhole : 1
bhature : 1
daal : 1
baati : 1
khaman : 1
khandvi : 1
thoroughly : 1
enjoyed : 1
delicious : 1
litti : 1
chokha : 1
exhibitions : 1
organized : 1
whenever : 1
arises : 1
attend : 1
events : 1
artculture : 1
canvas : 1
contribute : 1
prosperity : 1
point : 1
bestowed : 1
legacy : 1
inherited : 1
ancestors : 1
knowledge : 1
values : 1
permeated : 1
entail : 1
compassion : 1
toward : 1
living : 1
boundless : 1
nature : 1
cultural : 1
heritage : 1
partake : 1
hospitality : 1
numerous : 1
varieties : 1
regions : 1
gandhinagar : 1
host : 1
phenomenon : 1
mulled : 1
discussed : 1
deliberated : 1
concerning : 1
subject : 1
lauded : 1
chair : 1
send : 1
suggestions : 1
substance : 1
making : 1
useful : 1
discussing : 1
drew : 1
attention : 1
biologists : 1
discovered : 1
whose : 1
habitat : 1
believed : 1
largest : 1
aquatic : 1
surface : 1
dark : 1
underground : 1
little : 1
chance : 1
light : 1
reaching : 1
perplexed : 1
ability : 1
survive : 1
rare : 1
lends : 1
facet : 1
surrounded : 1
mysteries : 1
still : 1
undiscovered : 1
discover : 1
phenomenal : 1
enigma : 1
calls : 1
fierce : 1
detective : 1
passion : 1
tamil : 1
poetess : 1
avvaiyar : 1
writes : 1
kattat : 1
kemaavoon : 1
kalladaru : 1
udgadvu : 1
kaddat : 1
kamiyan : 1
adva : 1
kalladar : 1
olaaadu : 1
means : 1
handful : 1
sand : 1
universe : 1
case : 1
realize : 1
magnitude : 1
treasure : 1
human : 1
kind : 1
preserve : 1
conserve : 1
explore : 1
increasingly : 1
keen : 1
record : 1
satellite : 1
launches : 1
records : 1
missions : 1
bengaluru : 1
chandrayan : 1
immense : 1
fervor : 1
present : 1
sign : 1
drowsiness : 1
angle : 1
awake : 1
night : 1
forget : 1
inquisitiveness : 1
innovation : 1
fillip : 1
encourage : 1
scientific : 1
temper : 1
system : 1
sit : 1
watch : 1
sriharikota : 1
front : 1
eyes : 1
facility : 1
open : 1
visitors : 1
gallery : 1
erected : 1
seat : 1
thousand : 1
online : 1
booking : 1
link : 1
provided : 1
arranging : 1
tour : 1
show : 1
motivate : 1
urge : 1
principals : 1
teachers : 1
avail : 1
benefit : 1
convey : 1
comment : 1
dhanbad : 1
jharkhand : 1
namo : 1
app : 1
commendable : 1
effort : 1
integrate : 1
launched : 1
acronym : 1
yuva : 1
vigyani : 1
karyakram : 1
consonance : 1
vision : 1
jawan : 1
kisan : 1
vigyan : 1
anusandhaan : 1
holidays : 1
centres : 1
learn : 1
applications : 1
imparted : 1
nuances : 1
attended : 1
sessions : 1
participant : 1
register : 1
visiting : 1
linked : 1
telling : 1
write : 1
wwwyuvikaisrogovin : 1
written : 1
valleys : 1
ladakh : 1
momentous : 1
event : 1
january : 1
history : 1
air : 1
