 : 15
corona : 9
today : 9
sector : 9
village : 9
game : 9
friends : 8
life : 8
time : 8
games : 8
way : 7
entire : 7
indian : 7
local : 7
nature : 7
children : 7
water : 7
period : 6
might : 6
world : 6
spirit : 6
lockdown : 6
traditional : 6
ponds : 6
narasimha : 6
rao : 6
pandemic : 5
possible : 5
adversities : 5
hand : 5
family : 5
selfreliant : 5
stay : 5
calamity : 4
good : 4
little : 4
challenges : 4
state : 4
always : 4
stones : 4
together : 4
true : 4
resolve : 4
defence : 4
others : 4
phase : 4
unlock : 4
stories : 4
another : 4
indoor : 4
elders : 4
stone : 4
childhood : 4
feel : 3
amidst : 3
belief : 3
countrymen : 3
creation : 3
lines : 3
means : 3
sentiment : 3
move : 3
advance : 3
record : 3
path : 3
firmly : 3
believe : 3
collective : 3
comes : 3
ladakh : 3
mother : 3
members : 3
sense : 3
sacrifice : 3
sending : 3
young : 3
vocal : 3
ahead : 3
efforts : 3
service : 3
part : 3
strength : 3
remember : 3
education : 3
movement : 3
farmers : 3
ready : 3
opportunity : 3
huts : 3
positive : 3
small : 3
sports : 3
played : 3
request : 3
house : 3
topics : 3
learn : 3
environment : 3
work : 3
protect : 3
forward : 3
mann : 2
baat : 2
attained : 2
touched : 2
multitude : 2
naturally : 2
human : 2
noticing : 2
moving : 2
behind : 2
face : 2
coast : 2
cyclone : 2
farmer : 2
parts : 2
witnessing : 2
kind : 2
incidents : 2
emerged : 2
stronger : 2
culture : 2
song : 2
ever : 2
literature : 2
saw : 2
went : 2
field : 2
crore : 2
newer : 2
heights : 2
heritage : 2
helping : 2
role : 2
peace : 2
development : 2
commitment : 2
safeguarding : 2
sovereignty : 2
cast : 2
evil : 2
eye : 2
response : 2
brave : 2
honour : 2
paying : 2
tributes : 2
families : 2
supreme : 2
seen : 2
martyrs : 2
army : 2
echoing : 2
aim : 2
enhancing : 2
written : 2
taken : 2
buy : 2
sake : 2
messages : 2
wishes : 2
independence : 2
realm : 2
countries : 2
taking : 2
technology : 2
achieved : 2
support : 2
play : 2
strengthening : 2
whatever : 2
uses : 2
wealth : 2
knowledge : 2
crisis : 2
points : 2
putting : 2
home : 2
urge : 2
getting : 2
unlocked : 2
decades : 2
historic : 2
reforms : 2
freedom : 2
touch : 2
inspiring : 2
pradesh : 2
mirem : 2
district : 2
feat : 2
residents : 2
returning : 2
quarantine : 2
including : 2
effort : 2
attention : 2
qualities : 2
worker : 2
brethren : 2
migrant : 2
workers : 2
returned : 2
initiative : 2
river : 2
natural : 2
nearby : 2
villages : 2
reached : 2
account : 2
live : 2
interesting : 2
spices : 2
asia : 2
simple : 2
understand : 2
easily : 2
questions : 2
living : 2
facets : 2
example : 2
karnataka : 2
hold : 2
popular : 2
air : 2
ground : 2
forgotten : 2
generation : 2
online : 2
startups : 2
interview : 2
elder : 2
sometimes : 2
fun : 2
quite : 2
history : 2
monsoon : 2
rains : 2
rainy : 2
season : 2
extraordinary : 2
kamegowdaji : 2
vadodara : 2
campaign : 2
ganesh : 2
worship : 2
healthy : 2
former : 2
prime : 2
birth : 2
centenary : 2
nizam : 2
voice : 2
halfway : 1
mark : 1
journey : 1
subjects : 1
conversation : 1
revolved : 1
global : 1
confronted : 1
race : 1
endless : 1
