 : 15
countrymen : 12
young : 12
today : 10
time : 10
friends : 8
festivals : 8
way : 8
homes : 7
run : 7
laxmi : 7
campaign : 7
ecigarette : 7
world : 7
great : 6
diwali : 6
fact : 6
daughters : 6
society : 6
book : 6
whatever : 6
especially : 6
ecigarettes : 6
sister : 5
joy : 5
darkness : 5
hand : 5
awareness : 5
bharat : 5
medvedev : 5
tobacco : 5
october : 5
ripudaman : 5
tourism : 5
talk : 4
didi : 4
path : 4
season : 4
children : 4
sisters : 4
course : 4
health : 4
service : 4
spread : 4
quite : 4
teachers : 4
thank : 4
urge : 4
lives : 4
speech : 4
life : 4
matter : 4
addiction : 4
knows : 4
cigarette : 4
still : 4
family : 4
fit : 4
entire : 4
single : 4
plastic : 4
taken : 4
plogging : 4
mann : 3
baat : 3
hearts : 3
indian : 3
elder : 3
lata : 3
listen : 3
newer : 3
throughout : 3
heartiest : 3
families : 3
felt : 3
beneath : 3
lamp : 3
places : 3
experience : 3
delivery : 3
thus : 3
faces : 3
brothers : 3
form : 3
prosperity : 3
programmes : 3
someone : 3
social : 3
citizens : 3
aleena : 3
taayang : 3
student : 3
arunachal : 3
letter : 3
exam : 3
good : 3
edition : 3
little : 3
task : 3
experiences : 3
aware : 3
common : 3
daniil : 3
heard : 3
sheer : 3
everyone : 3
defeat : 3
hands : 3
nadal : 3
case : 3
humility : 3
spirit : 3
difficult : 3
praise : 3
example : 3
going : 3
stop : 3
understand : 3
cigarettes : 3
smoking : 3
fall : 3
prey : 3
sometimes : 3
waste : 3
remember : 3
mariamthresia : 3
crore : 3
use : 3
lead : 3
nd : 3
unity : 3
travel : 3
renewed : 3
episode : 2
citizen : 2
show : 2
witness : 2
different : 2
address : 2
september : 2
foreign : 2
blessed : 2
opportunity : 2
converse : 2
phone : 2
younger : 2
sharing : 2
tete : 2
navaratri : 2
festival : 2
celebrate : 2
together : 2
filled : 2
perhaps : 2
words : 2
thought : 2
think : 2
sweetmeats : 2
clothes : 2
indeed : 2
true : 2
glow : 2
least : 2
cities : 2
endeavor : 2
collect : 2
look : 2
smiles : 2
numerous : 2
underprivileged : 2
lit : 2
wealth : 2
makes : 2
household : 2
fortune : 2
welcomed : 2
felicitate : 2
villages : 2
public : 2
amongst : 2
honor : 2
others : 2
sanitation : 2
working : 2
feel : 2
something : 2
achievements : 2
media : 2
directly : 2
prime : 2
minister : 2
warriors : 2
twice : 2
exams : 2
liked : 2
aspects : 2
mantras : 2
students : 2
thanks : 2
friend : 2
suggestions : 2
large : 2
effect : 2
victory : 2
discourse : 2
hence : 2
match : 2
simplicity : 2
displayed : 2
touched : 2
moments : 2
tennis : 2
rather : 2
sportsmanship : 2
game : 2
living : 2
observe : 2
benefit : 2
continue : 2
continuing : 2
definitely : 2
harmful : 2
quit : 2
intoxication : 2
nicotine : 2
