 : 33
modi : 33
rajesh : 28
sukhdevi : 27
card : 25
prime : 18
mayur : 18
minister : 17
prajapati : 16
vrindavan : 15
patil : 15
ayushman : 12
today : 11
friends : 11
life : 11
poor : 11
doctor : 10
treatment : 9
mann : 8
baat : 8
done : 8
world : 8
scheme : 8
namaste : 8
startup : 8
mahotsav : 7
power : 7
river : 7
mileage : 7
time : 6
family : 6
amrit : 6
children : 6
youth : 6
australia : 6
nature : 6
government : 6
way : 6
bharat : 6
problem : 6
thank : 6
job : 6
happy : 6
good : 5
freedom : 5
programme : 5
countrymen : 5
best : 5
started : 5
heart : 5
wish : 5
work : 5
startups : 5
emissions : 5
increase : 5
hearts : 4
young : 4
different : 4
related : 4
little : 4
start : 4
cost : 4
gives : 4
natural : 4
becoming : 4
inspiration : 4
son : 4
age : 4
thing : 4
hospital : 4
health : 4
money : 4
medicine : 4
matter : 4
knee : 4
idea : 4
true : 4
motorcycle : 4
college : 4
reduce : 4
buses : 4
grant : 4
feel : 3
plans : 3
remember : 3
brave : 3
always : 3
students : 3
written : 3
connected : 3
ongc : 3
efforts : 3
great : 3
information : 3
rani : 3
corner : 3
god : 3
sukh : 3
joy : 3
perth : 3
gallery : 3
jagat : 3
tarini : 3
forget : 3
jhansi : 3
laxmibai : 3
company : 3
bravery : 3
getting : 3
noon : 3
water : 3
farmers : 3
together : 3
example : 3
small : 3
found : 3
mother : 3
boat : 3
look : 3
air : 3
help : 3
disease : 3
gone : 3
happen : 3
showed : 3
benefit : 3
mine : 3
earlier : 3
ok : 3
fine : 3
service : 3
walk : 3
sick : 3
radheradhe : 3
operation : 3
knees : 3
worse : 3
kilometers : 3
rupees : 3
spirit : 3
unicorn : 3
unicorns : 3
solution : 3
pollution : 3
liter : 3
wants : 3
duties : 3
connecting : 2
armed : 2
celebrating : 2
received : 2
suggestions : 2
part : 2
lives : 2
really : 2
struggle : 2
something : 2
common : 2
panchayats : 2
going : 2
interesting : 2
stories : 2
study : 2
tours : 2
oil : 2
field : 2
bit : 2
full : 2
fervor : 2
view : 2
contribution : 2
tribal : 2
communities : 2
displayed : 2
culture : 2
ram : 2
kumar : 2
pradesh : 2
word : 2
conveyed : 2
place : 2
sant : 2
major : 2
referred : 2
patriotic : 2
hope : 2
certainly : 2
discussed : 2
yeh : 2
aasa : 2
dhari : 2
chitta : 2
mein : 2
rang : 2
kau : 2
